description,user_tags,title,license_name,user_nsid,image_extension_original,longitude,image_id,license_url,date_uploaded,date_taken,latitude,image_url,user_nickname,capture_device
,"['art', 'building', 'city', 'flood', 'iowa', 'ruins']",100_3638,Attribution-NonCommercial License,99367029@N00,jpg,,3679475969,http://creativecommons.org/licenses/by-nc/2.0/,1246494332,2009-07-01 13:02:46.0,,http://www.flickr.com/photos/99367029@N00/3679475969/,GiantGlassOfMilk,EASTMAN KODAK COMPANY KODAK Z650 ZOOM DIGITAL CAMERA
Fish Creek flooded after a week of rain.,[],"Fish Creek Park, Calgary, Alberta",Attribution-NonCommercial License,56219672@N00,jpg,,5770083797,http://creativecommons.org/licenses/by-nc/2.0/,1306645584,2011-05-28 05:54:55.0,,http://www.flickr.com/photos/56219672@N00/5770083797/,skinnybrager,Canon EOS 50D
"During the winter flood in Karachi in late 2006, near Jail Chowrangi (Central Jail)","['car', 'flood', 'karachi', 'pakistan', 'pakistani', 'rain', 'urban']",All Terrain Civic,Attribution-NonCommercial-NoDerivs License,91534672@N00,jpg,67.002868,474407409,http://creativecommons.org/licenses/by-nc-nd/2.0/,1177670630,2006-12-04 15:30:15.0,24.876469,http://www.flickr.com/photos/91534672@N00/474407409/,Nadir Burney,NIKON CORPORATION NIKON D80
"To celebrate Leyland's industrial heritage Leyland town hosted Leyland Transport Festival. Vintage buses carried visitors from a park and ride at Leyland Business Park to the British Commercial Vehicle Museum where even more vehicles were on display. Hough Lane (the main road through the town) was packed with hundreds of keen transport fantatics and families who enjoyed the vehicles, stalls and music.",[],Leyland Transport Festival,Attribution-NonCommercial-NoDerivs License,37664973@N07,jpg,,3742284697,http://creativecommons.org/licenses/by-nc-nd/2.0/,1248187819,2009-07-11 13:33:02.0,,http://www.flickr.com/photos/37664973@N07/3742284697/,iknow-uk,Apple iPhone
"Muziekgebouw aan 't IJ (English: ""Music Building at the IJ"") is a concert hall for contemporary classical music on the IJ in Amsterdam, Netherlands. The building is above the IJtunnel, a ten minute walk from the railway station Amsterdam Centraal. The building is designed by a Danish architect office 3xNielsen. The Bimhuis is part of and partly integrated in the Muziekgebouw aan 't IJ.

The first director was from 2005 to 2008 Jan Wolff; since june 2008 Tino Haenen is the artistic director. Haenen was former director of the Belgian contemporary music festival Ars Musica.","['amsterdam', 'europe', 'holland', ""muziek gbouwaan'tij"", 'netherlands', 'travel']",Muziekgebouw aan 't IJ,Attribution-NonCommercial License,36317426@N00,jpg,4.895009,3040024164,http://creativecommons.org/licenses/by-nc/2.0/,1226974863,2008-11-17 15:56:51.0,52.372573,http://www.flickr.com/photos/36317426@N00/3040024164/,weesen,Canon EOS 40D
"This little critter is a survivor of the Queensland floods. To read her story please click the link below. <a href=""http://www.woaw.org.au/wildlife-ward-flood-damaged"" rel=""nofollow"">www.woaw.org.au/wildlife-ward-flood-damaged</a>","['echidna', 'qld', 'rescue', 'rspca', 'wildlifeward', 'woaw']",Libby the Echidna,Attribution-NonCommercial License,18252321@N02,jpg,,5367639912,http://creativecommons.org/licenses/by-nc/2.0/,1295370626,2011-01-16 09:46:08.0,,http://www.flickr.com/photos/18252321@N02/5367639912/,WOAW - the world of animal welfare,SONY DSC-W180
And then walk until you reach what you want.,[],Anyone has to take his own road.,Attribution-ShareAlike License,61305654@N07,jpg,10.253658,5582123335,http://creativecommons.org/licenses/by-sa/2.0/,1301764716,2011-04-02 16:15:50.0,45.374141,http://www.flickr.com/photos/61305654@N07/5582123335/,DaniPhotographer,FUJIFILM FinePix JX220
,"['bench', 'flood', 'flooding', 'iphone', 'mission valley', 'san diego']",Benched,Attribution-NonCommercial-NoDerivs License,45613511@N00,jpg,-117.163834,5288729524,http://creativecommons.org/licenses/by-nc-nd/2.0/,1293219278,2010-12-24 11:28:30.0,32.765833,http://www.flickr.com/photos/45613511@N00/5288729524/,Mike Souza,Apple iPhone 3GS
"Just won't stop raining in Dover, Delaware today. Think we've had 4 inches already.","['delaware', 'dover', 'flooding', 'iphoneography', 'iphonography', 'rain', 'weather']",Oh when the rain comes,Attribution-NoDerivs License,37848681@N05,jpg,-75.521,9271464598,http://creativecommons.org/licenses/by-nd/2.0/,1373650502,2013-07-12 13:21:19.0,39.157666,http://www.flickr.com/photos/37848681@N05/9271464598/,-Jeffrey-,Apple iPhone 5
,[],Extent of the flood in the Fairgrounds,Attribution-NonCommercial-NoDerivs License,78372713@N00,jpg,,7630400444,http://creativecommons.org/licenses/by-nc-nd/2.0/,1343057965,2012-07-23 07:20:53.0,,http://www.flickr.com/photos/78372713@N00/7630400444/,judylcrook,NIKON CORPORATION NIKON D3100
"Am 14.08.2011 startete bei strömenden Regen die Aktion ""Gorleben365"". 
Ein Jahr lang soll an möglichst vielen Tagen die Zufahrt zum Schwarzbau Gorleben blockiert werden. Sei dabei!

On august 14th began the first blockade at the supposed nuclear waste deposit in Gorleben, Germany. We will try to block the traffic to the construction site of the deposit mine for 365 days. Be part of it!","['antiakw', 'antiatom', 'blockade', 'castor', 'demo', 'deu', 'deutschland', 'endlager', 'gorleben', 'gorleben365', 'niedersachsen', 'nonukes', 'protest', 'wendland', 'widerstand']",Gorleben365 14.08.2011 - 02,Attribution-NonCommercial-NoDerivs License,53209110@N05,jpg,11.343575,6046276987,http://creativecommons.org/licenses/by-nc-nd/2.0/,1313434337,2011-08-14 14:14:47.0,53.028647,http://www.flickr.com/photos/53209110@N05/6046276987/,cephir,Canon EOS 50D
,"['2011', 'banksofthebasin.com', 'ohio river flood']","Flooded yard, Near Bird's View, KY",Attribution-NonCommercial License,44538514@N06,jpg,-88.452644,5693375794,http://creativecommons.org/licenses/by-nc/2.0/,1304689336,2011-05-05 13:32:00.0,37.220213,http://www.flickr.com/photos/44538514@N06/5693375794/,b.ciccotelli,NIKON CORPORATION NIKON D90
A block of ice from the river pushed on to ground by flood.,"['floe', 'forest', 'ground', 'ice', 'koitelinkoski', 'spring']",Koitelinkoski 4,Attribution-NonCommercial-ShareAlike License,86168270@N05,jpg,25.832977,8670298173,http://creativecommons.org/licenses/by-nc-sa/2.0/,1366611056,2013-04-21 15:24:27.0,65.089199,http://www.flickr.com/photos/86168270@N05/8670298173/,Matti Vinni,Canon EOS 1100D
Using an Motorola Atrix 4G taking photos the the Columbia River being 2 feet over flood stage along Vancouver Wa.'s water front,[],Vancouver waterfront hitting flood stage,Attribution-NonCommercial-ShareAlike License,30359603@N03,jpg,-122.664723,5760109328,http://creativecommons.org/licenses/by-nc-sa/2.0/,1306365208,2011-05-25 15:29:37.0,45.601944,http://www.flickr.com/photos/30359603@N03/5760109328/,Ninja M.,Motorola MB860
,"['city of london', 'lombard', 'lombard street', 'london', 'street city']",Lombard street-3206345,Attribution-NonCommercial-NoDerivs License,25151703@N07,jpg,-0.086576,3448401855,http://creativecommons.org/licenses/by-nc-nd/2.0/,1239933220,2009-03-20 10:23:20.0,51.513807,http://www.flickr.com/photos/25151703@N07/3448401855/,ru_anderson,OLYMPUS IMAGING CORP. E-330
"ca. 1906-ca. 1914

Melbourne street, with North Melbourne tram, in the floods.

Visit our catalogue to download a hi-res copy or find out more about this image: <a href=""http://handle.slv.vic.gov.au/10381/78600"" rel=""nofollow"">handle.slv.vic.gov.au/10381/78600</a> 

Want to find more pictures from the State Library of Victoria's collections? <a href=""http://guides.slv.vic.gov.au/pictures"" rel=""nofollow"">guides.slv.vic.gov.au/pictures</a>","['1910s', 'early 1900s', 'floods', 'melbourne', 'public transport', 'state library of victoria', 'tram']",Tram in the floods,Attribution-NonCommercial License,60849810@N05,jpg,,8369234072,http://creativecommons.org/licenses/by-nc/2.0/,1357863929,2013-01-11 11:25:29.0,,http://www.flickr.com/photos/60849810@N05/8369234072/,State Library of Victoria Collections,
"Road construction includes river crossings like this one, dry for a good part of the year but flooding over the road can happen in the wet season.","['5', 'chad', 'kome']",Loule River Crossing,Attribution License,45673145@N00,jpg,16.684455,8079698787,http://creativecommons.org/licenses/by/2.0/,1350046909,2012-10-08 08:36:10.0,8.443507,http://www.flickr.com/photos/45673145@N00/8079698787/,Ken Doerr,SONY DSC-W350
,"['city life', 'dublin', 'gardiner row', 'ireland', 'street', 'sunlight']",Across the street,Attribution-NonCommercial-NoDerivs License,72716480@N00,jpg,,1095219585,http://creativecommons.org/licenses/by-nc-nd/2.0/,1186946863,2007-07-27 20:17:30.0,,http://www.flickr.com/photos/72716480@N00/1095219585/,La Mars,Panasonic DMC-FZ5
"After the dirty snow back in Leavenworth, 50 mles away, the color of the early sap running in the shrubs, and the blonde gold from last winters grasses  are a feast for the eye.","[':eastern', '2007', 'columbia', 'columbia river', 'february', 'ice age floods', 'pictoscribe', 'quincy wildlife refuge', 'qwr', 'wa', 'washinton']",Subtle Pastels Color a Late Winter Landscape,Attribution-NonCommercial-NoDerivs License,70414856@N00,jpg,,393569678,http://creativecommons.org/licenses/by-nc-nd/2.0/,1171767392,2007-02-17 18:56:32.0,,http://www.flickr.com/photos/70414856@N00/393569678/,Pictoscribe,
Magnolia virágözön,[],Magnolia flower flood,Attribution License,82024571@N08,jpg,,7508457002,http://creativecommons.org/licenses/by/2.0/,1341502349,2012-07-05 17:32:29.0,,http://www.flickr.com/photos/82024571@N08/7508457002/,firemanus,
"Suspension bridge leading to <a href=""http://flickr.com/photos/nguyendai/495784973/"">construction site</a> of TGV Station Liège-Guillemins, Belgium.

See <a href=""http://vnoss.net/photo/495787837/o"">original size</a> on black.

My set <a href=""http://flickr.com/photos/nguyendai/sets/72157594463604459/"">Gare TGV Liège-Guillemins</a>","['belgique', 'gare tgv liège-guillemins', 'liège', 'nguyendai', 'tgv station', 'wallonie']",Pont suspendu,Attribution-NonCommercial-ShareAlike License,79651958@N00,jpg,5.566023,495787837,http://creativecommons.org/licenses/by-nc-sa/2.0/,1179036387,2007-05-12 15:12:36.0,50.625386,http://www.flickr.com/photos/79651958@N00/495787837/,NguyenDai,Canon PowerShot A520
,"['instagram app', 'iphoneography', 'square', 'square format']",Shoppers flood the streets,Attribution-NonCommercial-NoDerivs License,97478728@N00,jpg,139.69919,5313981901,http://creativecommons.org/licenses/by-nc-nd/2.0/,1293935001,2011-01-02 10:23:21.0,35.660347,http://www.flickr.com/photos/97478728@N00/5313981901/,smallcaps,
,"['park', 'photoroam']",Mud left by the flooding,Attribution-NonCommercial License,9895689@N04,jpg,-80.495924,2188949674,http://creativecommons.org/licenses/by-nc/2.0/,1200203571,2008-01-12 11:47:57.0,43.515996,http://www.flickr.com/photos/9895689@N04/2188949674/,Bill Rosgen,Canon EOS DIGITAL REBEL XTi
Starting on the trail from the picnic table/clearing,"['post-flood', 'spring', 'sycamoreisland']",Sycamore trail,Attribution-NonCommercial-ShareAlike License,46528311@N00,jpg,-79.85699,5591350008,http://creativecommons.org/licenses/by-nc-sa/2.0/,1301977482,2011-04-05 00:24:42.0,40.490646,http://www.flickr.com/photos/46528311@N00/5591350008/,SchultzLabs,
"Created 8.17.2009, Philadelphia, PA","['broad street', 'city hall panorama philadelphia pa', 'gk3dlab.com', 'graham kelman']",Outside City Hall,Attribution-NonCommercial-NoDerivs License,47750499@N07,jpg,-75.164707,4376252683,http://creativecommons.org/licenses/by-nc-nd/2.0/,1266785037,2010-02-21 15:43:57.0,39.952599,http://www.flickr.com/photos/47750499@N07/4376252683/,GK3DLAB,
"The Very Large Array is a long ways from any cellular tower and over 7000 feet above sea level.  The road to get there is very long and straight.  Don't be tempted to think it's just a quick detour off highway 25.

This photo was about 5 miles out and the Very Large Array is just to the left behind those trees.",['vla'],Road to the VLA,Attribution-NonCommercial-ShareAlike License,82421908@N00,jpg,-107.555251,3693109000,http://creativecommons.org/licenses/by-nc-sa/2.0/,1246853301,2009-07-04 16:41:20.0,34.093503,http://www.flickr.com/photos/82421908@N00/3693109000/,joeszilvagyi,NIKON CORPORATION NIKON D80
"The Portage Diversion is part of the Winnipeg flood protection system. It diverts water from the Assiniboine River at Portage la Prairie and sends it to Lake Manitoba. This year its diverting water at maximum capacity and the river is still flooding.

This is where the Trans-Canada highway bridges the diversion channel. The water was so high it was hitting the bottom of the highway bridges.","['canada', 'flood', 'flooding', 'manitoba']",Portage Diversion - 2011 Spring Flood,Attribution-NonCommercial-ShareAlike License,21046229@N00,jpg,,5721286426,http://creativecommons.org/licenses/by-nc-sa/2.0/,1305436355,2011-05-14 14:33:46.0,,http://www.flickr.com/photos/21046229@N00/5721286426/,wasme,Panasonic DMC-FZ50
The water is inside now and climbing fast.  I managed to get it all out except for a couple of jars of stringers.  You can just make out the water line outside is higher than inside.  It eventually evened out.,"['brisbane', 'flood', 'glass', 'glass studio', 'lampwork', 'may09']",Second shot,Attribution-NonCommercial-NoDerivs License,23622484@N07,jpg,,3551204322,http://creativecommons.org/licenses/by-nc-nd/2.0/,1242895571,2009-05-21 18:46:11.0,,http://www.flickr.com/photos/23622484@N07/3551204322/,heartofglassbeads,
,"['building', 'climatron', 'discovery', 'fountain', 'glass', 'pond', 'sonydsc-t70']",Climatron Photo,Attribution-NonCommercial License,9837609@N08,jpg,,2673061354,http://creativecommons.org/licenses/by-nc/2.0/,1216171008,2008-06-25 13:50:52.0,,http://www.flickr.com/photos/9837609@N08/2673061354/,trish1380,SONY DSC-T70
"Flooding in Worcester, July 2007.","['flood', 'riversevern', 'worcester']",img_4719.jpg,Attribution-NonCommercial-ShareAlike License,88065410@N00,jpg,-2.225691,940184138,http://creativecommons.org/licenses/by-nc-sa/2.0/,1185719370,2007-07-21 15:02:28.0,52.191166,http://www.flickr.com/photos/88065410@N00/940184138/,rjforster,Canon DIGITAL IXUS 900Ti
"Flooding at the Primrose Trail head on Kenai Lake. Snow River floods every few years when a lake that is dammed up by the Snow Glacier suddenly breaks free. The flooding can raise the level of Kenai lake by several feet in a very short time.

                                     See a lot more information on the Snow River JÖKULHLAUP at  <a href=""http://aprfc.arh.noaa.gov/general/glacier.html"" rel=""nofollow"">aprfc.arh.noaa.gov/general/glacier.html</a>

And at <a href=""http://water.weather.gov/ahps2/hydrograph.php?wfo=pafc&gage=snoa2"" rel=""nofollow"">water.weather.gov/ahps2/hydrograph.php?wfo=pafc&gage=...</a>



Mile 17 Seward Highway 
Primrose, Kenai Peninsula, Alaska","['22287', 'alaska', 'd300', 'dcsl', 'flooding', 'jökulhlaup', 'kenai lake', 'kenai peninsula', 'landscape', 'mile 17', 'nikon', 'primrose', 'seward highway', 'vr 18-200']",SNOW RIVER JÖKULHLAUP,Attribution-NonCommercial License,31305388@N07,jpg,-149.374237,4030312147,http://creativecommons.org/licenses/by-nc/2.0/,1256093027,2009-10-13 12:06:27.0,60.339522,http://www.flickr.com/photos/31305388@N07/4030312147/,DCSL,NIKON CORPORATION NIKON D300
,"['2007', 'december', 'farmland', 'flooding', 'lewis washington storm flooding water december 2007 farmland thurston', 'storm', 'thurston', 'washington', 'water']",WA Farmland Flooding-18,Attribution-NonCommercial-ShareAlike License,58859014@N00,jpg,,2087080014,http://creativecommons.org/licenses/by-nc-sa/2.0/,1196787904,2007-12-04 08:32:22.0,,http://www.flickr.com/photos/58859014@N00/2087080014/,adriannadane,EASTMAN KODAK COMPANY KODAK EASYSHARE Z710 ZOOM DIGITAL CAMERA
A small dozer is piling more earth onto the existing sandbags here.,"['chasing', 'dakota', 'dmc', 'flood', 'fuji', 'fujifilm', 'lumix', 'minot', 'missouri', 'north', 'panasonic', 's5', 'states', 'storm', 'tz20', 'united']",StormChasing 148,Attribution-NonCommercial-ShareAlike License,26022461@N00,jpg,-101.2715,6158660250,http://creativecommons.org/licenses/by-nc-sa/2.0/,1316346153,2011-07-01 20:19:04.0,48.2325,http://www.flickr.com/photos/26022461@N00/6158660250/,CarlosVanVegas,FUJIFILM FinePix S5Pro
,"['beach', 'flood', 'maple beach', 'point roberts', 'storm', 'water']",CIMG1133,Attribution-NonCommercial-NoDerivs License,80773746@N00,jpg,-123.035062,96627027,http://creativecommons.org/licenses/by-nc-nd/2.0/,1139291004,2006-02-05 14:32:39.0,48.999405,http://www.flickr.com/photos/80773746@N00/96627027/,Mr. Fnord,"CASIO COMPUTER CO.,LTD. EX-S500"
"Flooding along the White River in eastern Arkansas has affected many communities and resulted in a call up of Arkansas National Guard soldiers and airmen. (Photo by Staff Sgt. Julian Johnson) 
Arkansas National Guard Public Affairs Office
Date Taken:5/7/2011
Location:AR, US
Related Photos: <a href=""http://dvidshub.net/r/ccd5bk"" rel=""nofollow"">dvidshub.net/r/ccd5bk</a>","['ar', 'arkansas', 'arkansas national guard', 'flooding', 'military', 'us', 'water']",Arkansas National Guard Flood Response [Image 5 of 23],Attribution License,28650594@N03,jpg,-92.130546,5704428047,http://creativecommons.org/licenses/by/2.0/,1304976013,2011-05-09 16:20:13.0,34.751899,http://www.flickr.com/photos/28650594@N03/5704428047/,DVIDSHUB,
,"['2012', 'texas', 'weeklywinners']",Little River over flood stage,Attribution-NoDerivs License,59936771@N00,jpg,-96.947345,7005004869,http://creativecommons.org/licenses/by-nd/2.0/,1332394191,2012-03-21 19:43:08.0,30.83585,http://www.flickr.com/photos/59936771@N00/7005004869/,niseag03,SONY DSLR-A230
"Looking back to the west along highway 190 as Kerry and I were leaving Death Valley National Monument on our way to Las Vegas, the final destination on our long road trip honeymoon. 

I feel like this shot captures the stark beauty of Death Valley, but also the romance of traveling by car across this stunningly beautiful country. It also conveys the subdued sense of sadness that our ""escape"" was coming to an end, though the real journey was just beginning.","['death valley', 'desert', 'desolate', 'highway', 'longing', 'mountains', 'nature', 'peaceful', 'stark']",The Road Less Traveled,Attribution-ShareAlike License,35708975@N04,jpg,-116.715316,4140356262,http://creativecommons.org/licenses/by-sa/2.0/,1259389989,2009-11-28 00:33:09.0,36.362416,http://www.flickr.com/photos/35708975@N04/4140356262/,D.Hilgart,
